filename,node,gen,meth
/mnt/fast/epigenomics/alphabeta/test/methylome.bed,0_0,0,Y
/mnt/fast/epigenomics/alphabeta/test/methylome.bed,1_2,1,Y
/mnt/fast/epigenomics/alphabeta/test/methylome.bed,1_8,1,Y
/mnt/fast/epigenomics/alphabeta/test/methylome.bed,2_2,2,Y
/mnt/fast/epigenomics/alphabeta/test/methylome.bed,2_8,2,Y
-,3_2,3,N
-,3_8,3,N
/mnt/fast/epigenomics/alphabeta/test/methylome.bed,4_2,4,Y
/mnt/fast/epigenomics/alphabeta/test/methylome.bed,4_8,4,Y
/mnt/fast/epigenomics/alphabeta/test/methylome.bed,5_2,5,Y
/mnt/fast/epigenomics/alphabeta/test/methylome.bed,5_8,5,Y
-,6_2,6,N
-,6_8,6,N
-,7_2,7,N
-,7_8,7,N
/mnt/fast/epigenomics/alphabeta/test/methylome.bed,8_2,8,Y
/mnt/fast/epigenomics/alphabeta/test/methylome.bed,8_8,8,Y
-,9_2,9,N
-,9_8,9,N
-,10_2,10,N
-,10_8,10,N
/mnt/fast/epigenomics/alphabeta/test/methylome.bed,11_2,11,Y
/mnt/fast/epigenomics/alphabeta/test/methylome.bed,11_8,11,Y

